# hostname,interval,timestamp,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s
my-server,594,2017-06-15 07:10:01 UTC,bond0,8567.90,12414.79,3173.13,9257.68,0.00,0.00,0.00
my-server,594,2017-06-15 07:10:01 UTC,bond1,0.41,0.10,0.02,0.00,0.00,0.00,0.00
my-server,595,2017-06-15 07:20:01 UTC,lo,69.14,69.14,61.00,61.00,0.00,0.00,0.00
my-server,595,2017-06-15 07:20:01 UTC,eth0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
my-server,595,2017-06-15 07:20:01 UTC,eth1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
my-server,595,2017-06-15 07:20:01 UTC,eth2,6422.16,8073.41,2547.26,5609.55,0.00,0.00,0.00
my-server,595,2017-06-15 07:20:01 UTC,eth3,0.20,0.10,0.01,0.00,0.00,0.00,0.00
my-server,595,2017-06-15 07:20:01 UTC,eth4,1.11,0.00,0.09,0.00,0.00,0.00,0.00
my-server,595,2017-06-15 07:20:01 UTC,eth5,0.20,0.00,0.01,0.00,0.00,0.00,0.00
my-server,595,2017-06-15 07:20:01 UTC,usb0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
my-server,595,2017-06-15 07:20:01 UTC,bond0,6423.27,8073.40,2547.35,5609.55,0.00,0.00,0.00
my-server,595,2017-06-15 07:20:01 UTC,bond1,0.40,0.10,0.02,0.00,0.00,0.00,0.00
my-server,597,2017-06-15 07:30:02 UTC,lo,8.26,8.26,7.11,7.11,0.00,0.00,0.00
my-server,597,2017-06-15 07:30:02 UTC,eth0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
my-server,597,2017-06-15 07:30:02 UTC,eth1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
my-server,597,2017-06-15 07:30:02 UTC,eth2,8825.06,12126.28,3271.38,8755.06,0.00,0.00,0.00
my-server,597,2017-06-15 07:30:02 UTC,eth3,0.20,0.10,0.01,0.00,0.00,0.00,0.00
my-server,597,2017-06-15 07:30:02 UTC,eth4,1.25,0.00,0.10,0.00,0.00,0.00,0.00
my-server,597,2017-06-15 07:30:02 UTC,eth5,0.20,0.00,0.01,0.00,0.00,0.00,0.00
my-server,597,2017-06-15 07:30:02 UTC,usb0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
my-server,597,2017-06-15 07:30:02 UTC,bond0,8826.31,12126.28,3271.48,8755.06,0.00,0.00,0.00
my-server,597,2017-06-15 07:30:02 UTC,bond1,0.41,0.10,0.02,0.00,0.00,0.00,0.00
my-server,595,2017-06-15 07:40:01 UTC,lo,3.76,3.76,0.69,0.69,0.00,0.00,0.00
my-server,595,2017-06-15 07:40:01 UTC,eth0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
my-server,595,2017-06-15 07:40:01 UTC,eth1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
my-server,595,2017-06-15 07:40:01 UTC,eth2,2496.42,4144.00,883.21,3501.57,0.00,0.00,0.00
my-server,595,2017-06-15 07:40:01 UTC,eth3,0.20,0.10,0.01,0.00,0.00,0.00,0.00
my-server,595,2017-06-15 07:40:01 UTC,eth4,1.19,0.00,0.10,0.00,0.00,0.00,0.00
my-server,595,2017-06-15 07:40:01 UTC,eth5,0.20,0.00,0.01,0.00,0.00,0.00,0.00
my-server,595,2017-06-15 07:40:01 UTC,usb0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
my-server,595,2017-06-15 07:40:01 UTC,bond0,2497.61,4144.00,883.31,3501.57,0.00,0.00,0.00
my-server,595,2017-06-15 07:40:01 UTC,bond1,0.40,0.10,0.02,0.00,0.00,0.00,0.00
my-server,595,2017-06-15 07:50:01 UTC,lo,9.87,9.87,6.51,6.51,0.00,0.00,0.00
my-server,595,2017-06-15 07:50:01 UTC,eth0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
my-server,595,2017-06-15 07:50:01 UTC,eth1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
my-server,595,2017-06-15 07:50:01 UTC,eth2,9356.59,13786.62,3156.15,10157.00,0.00,0.00,0.00
my-server,595,2017-06-15 07:50:01 UTC,eth3,0.20,0.10,0.01,0.00,0.00,0.00,0.00
my-server,595,2017-06-15 07:50:01 UTC,eth4,1.06,0.00,0.09,0.00,0.00,0.00,0.00
my-server,595,2017-06-15 07:50:01 UTC,eth5,0.20,0.00,0.01,0.00,0.00,0.00,0.00
my-server,595,2017-06-15 07:50:01 UTC,usb0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
my-server,595,2017-06-15 07:50:01 UTC,bond0,9357.66,13786.62,3156.24,10157.00,0.00,0.00,0.00
my-server,595,2017-06-15 07:50:01 UTC,bond1,0.40,0.10,0.02,0.00,0.00,0.00,0.00
my-server,593,2017-06-15 08:00:01 UTC,lo,3.77,3.77,0.68,0.68,0.00,0.00,0.00
my-server,593,2017-06-15 08:00:01 UTC,eth0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
my-server,593,2017-06-15 08:00:01 UTC,eth1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
my-server,593,2017-06-15 08:00:01 UTC,eth2,14789.50,22352.82,4702.22,16829.35,0.00,0.00,0.00
my-server,593,2017-06-15 08:00:01 UTC,eth3,0.20,0.10,0.01,0.00,0.00,0.00,0.00
my-server,593,2017-06-15 08:00:01 UTC,eth4,1.10,0.00,0.09,0.00,0.00,0.00,0.00
my-server,593,2017-06-15 08:00:01 UTC,eth5,0.20,0.00,0.01,0.00,0.00,0.00,0.00
my-server,593,2017-06-15 08:00:01 UTC,usb0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
my-server,593,2017-06-15 08:00:01 UTC,bond0,14790.60,22352.83,4702.31,16829.35,0.00,0.00,0.00
my-server,593,2017-06-15 08:00:01 UTC,bond1,0.40,0.10,0.02,0.00,0.00,0.00,0.00
my-server,594,2017-06-15 08:10:01 UTC,lo,22.00,22.00,16.67,16.67,0.00,0.00,0.00
my-server,594,2017-06-15 08:10:01 UTC,eth0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
my-server,594,2017-06-15 08:10:01 UTC,eth1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
my-server,594,2017-06-15 08:10:01 UTC,eth2,16319.90,32712.87,5451.91,30508.84,0.00,0.00,0.00
my-server,594,2017-06-15 08:10:01 UTC,eth3,0.20,0.10,0.01,0.00,0.00,0.00,0.00
my-server,594,2017-06-15 08:10:01 UTC,eth4,1.17,0.00,0.09,0.00,0.00,0.00,0.00
